title,score,synopsis,Action,Adventure,Animation,Avant Garde,Award Winning,Biography,Boys Love,Comedy,Crime,Documentary,Drama,Ecchi,Family,Fantasy,Game-Show,Girls Love,Gourmet,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Slice of Life,Sport,Sports,Supernatural,Suspense,Talk-Show,Thriller,War,Western
Full Metal Panic! The Second Raid,7.93,"overcoming various tumultuous events , mercenary sergeant Sousuke Sagara Mithril `` Whispered '' school girl Kaname Chidori return normal high school lives . Sousuke continues efforts assimilate civilian population manage mission time , Kaname attempts support endeavors ( even though antics often drive wall ) . However , lives calm , new problems begin appear . appearance independent terrorist organization known Amalgam internal conflicts within Mithril threaten wreak unity series failures betrayals . new , powerful Arm Slave models worsen situation world 's peace stake . Kaname Sousuke face inner battles amidst life-threatening fights , able make right choices change future ? [ Written MAL Rewrite ]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gakuen Alice,7.64,"Mikan Sakura normal 10-year-old girl . Optimistic , energetic , overall sweet child , Mikan complete opposite aloof , intelligent , somewhat cold-hearted , Hotaru Imai . Despite glaring differences , two girls best friends long time . Hotaru suddenly transfers Alice Academy , prestigious school city , best friend devastated—especially hears horrible rumors regarding academy 's harsh treatment students . Beset worry , Mikan runs away see best friend ! Upon arrival , Mikan learns `` Alices , '' individuals gifted various supernatural abilities , school institution built government train protect . Discovering unique powers , Mikan enrolls academy , , lot trouble , finally reunites Hotaru . Gakuen Alice heartwarming comedy follows Mikan friends ' adventures academy , well attempt uncover mysteries surrounding problematic , fire-wielding student Natsume Hyuuga . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahou Shoujo Lyrical Nanoha,7.41,"Nanoha Takamachi , ordinary third-grader enjoys spending time family friends , rescues injured ferret dreamed night . next day , ferret cries telepathically , asking Nanoha save . ferret reveals Yuuno Scrya , mage another world trying collect dangerous 21 Jewel Seeds accidentally scattered across world . enlists Nanoha 's help , gifting magical wand Raising Heart , teaches become powerful mage . Days later , reclaiming Jewel Seeds , another mage appears : Fate Testarossa . Stronger Nanoha , Fate refuses divulge reasons trying collect Jewel Seeds . Nanoha senses melancholy eyes , Fate refuses communicate . Directed Akiyuki Shinbo , Mahou Shoujo Lyrical Nanoha story clash emotions goals collide . [ Written MAL Rewrite ]",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidou Senshi Gundam,7.76,"year 0079 Universal Century . Mankind moved space , living colony clusters known `` Sides . '' One Sides declares `` Principality Zeon '' declares war Earth Federation , governmental body currently ruling Earth . Using powerful humanoid robots known `` mobile suits , '' Zeon quickly gains upper hand . Nine months conflict , Earth Federation developed powerful mobile suit called Gundam . Zeon launches attack colony holding Gundam , 15-year-old civilian named Amuro Ray suddenly finds thrown conflict take across Earth space , pitting enemy 's ace pilot , Char Aznable . [ Written MAL Rewrite ]",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,7.95,"Alfred Izuruha 10-year-old lives neutral colony cluster Side 6 , like boys age , obsessed war Earth Federation Principality Zeon . Unbeknownst , Al 's next-door neighbor , Christina , test pilot prototype Gundam developed secret Earth Federation colony . Zeon Special Forces team assembled tasked infiltrating colony order either steal destroy . skirmish breaks Federation infiltrating Zeon forces , fascinated Alfred stumbles upon Zaku mobile suit shot , piloted Zeon rookie Bernard `` Bernie '' Wiseman . encounter , two start mutual friendship , Alfred learn war interests much , Bernie acquire inside information colony aid team 's mission . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kidou Senshi Zeta Gundam,7.89,"Universal Century 0087 , One Year War Earth Federation Principality Zeon . Earth Federation created elite task force , known Titans , responsible hunting remaining Zeon forces . However , power-hungry Titans shown better Zeon , spurring creation rebellious faction called Anti-Earth Union Group ( AEUG ) . 17-year-old Kamille Bidan lives colony Green Noa , home Titan base . Kamille gets trouble assaulting Titan officer , event coincides attack led former Zeon ace Char Aznable , known AEUG pilot Quattro Bajeena . Kamille steals Titan 's prototype Gundam , soon finds middle dangerous conflict . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Kidou Senshi Gundam: Gyakushuu no Char,7.66,"year Universal Century 0093 . Char Aznable taken command Neo Zeon , rebels outer space . firmly believes humankind achieve peace relocating space . Thus , plans crash giant asteroid Axis Earth plunge planet uninhabitable winter . Char also eagerly anticipates opportunity settle 14-year rivalry Amuro Ray . two reluctant allies times , Char never forgiven Amuro causing death one comrades One Year War . Earth Federation 's Londo Bell Unit power stop Char fulfilling dangerous goal . Leading defense Earth veteran captain Bright Noa Amuro Ray latest Nu Gundam mobile suit . thrilling conclusion original Gundam series , Londo Bell engages final conflict Neo Zeon decide fate Earth end long-standing rivalry—once . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shin Kidou Senki Gundam Wing: Endless Waltz,7.74,"year Colony 196 , one year conclusion intergalactic civil war , state stasis prevails Earth colonies . Seeing use Gundam mobile suits , war heroes Duo Maxwell , Heero Yuy , Trowa Barton , Quatre Raberba Winner decide destroy weapons launching sun 's surface . Gundam reach destination , universal peace shattered emergence Mariemaia Khushrenada—the child former tyrannical aristocrat Treize . Mariemaia abducts diplomat Relena Peacecraft announces plans launch `` Operation Meteor , '' intention posthumously fulfilling Treize 's world domination plot . help former enemy Zechs Marquise mobile suit Tallgeese , heroic pilots must reacquire mobile suits wage one final battle Khushrenada dynasty , including fighting former ally Wufei Chang , aligning Mariemaia 's ambitions . [ Written MAL Rewrite ]",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kidou Senshi Gundam SEED,7.75,"year Cosmic Era 0071 , space colony Heliopolis remains neutral great war raging across galaxy Coordinators , human beings whose biological traits altered birth , Naturals , unaltered people remain planet Earth . Naturals ' deep hatred Coordinators drove advanced beings space , seeking shelter man-made colonies . Kira Yamato Coordinator university student Heliopolis , life thrown disarray ZAFT , military organization composed rebellious Coordinators , attacks colony effort steal set five state-of-the-art military mobile suits known Gundams . ZAFT manages make four mobile suits , Kira take control final Gundam , Strike . Surviving battle , Kira college friends join crew Archangel , ship run Earth Alliance , young soldiers experience horrors war loss comes . [ Written MAL Rewrite ]",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Kidou Butouden G Gundam,7.57,"year Future Century 0060 , many countries comprised Earth 's surface exist separate colonies floating space . home planet uninhabitable , ruler colonies decided unanimous participation intergalactic Gundam Fight Tournament—a series battles champions colony determine fit reign . Neo-Japan 's champion Domon Kasshu , man accepts role ulterior motives . Domon searches galaxy brother , criminal allegedly murdered mother made Devil Gundam , highly advanced weapon power unleash mass destruction across galaxy . quest bring sibling justice , Domon travels colony colony , meeting many fighters become allies enemies forthcoming Gundam Fight Tournament . Armed strength Shining Gundam , Domon battles uncover truth behind tortured childhood , suffering great betrayal crushing blows quest toward personal national triumph . [ Written MAL Rewrite ]",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Mai-HiME,7.42,"Thirteen girls , ability materialize `` Elements '' summon metallic guardians called `` Childs '' brought Fuuka Academy battle mysterious creatures called Orphans . different personality background , must decide truly care fight .",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hana yori Dango,7.61,"Makino Tsukushi , girl comes poor family , wants get two last years Eitoku Gakuen quietly . makes known standing friend F4 , four popular , powerful , rich boys school , gets red card : F4 's way `` Declaration War . '' n't let beaten starting fall one F4 , Hanazawa Rui , starts see meets eye ... ( Source : ANN )",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ou Dorobou Jing in Seventh Heaven,7.26,"Jing , infamous King Bandits , finds feathered partner Kir behind bars Seventh Heaven , notorious prison complex world . , seek steal Dream Orb convict Campari . , must escape prison dreams Campari conjured .",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sakigake!! Cromartie Koukou,7.9,"Takashi Kamiyama typical mild-mannered high school student—polite , aloof , pacifistic , slightly above-average IQ . would average high school student really enroll infamous Cromartie High School , known breeding ground toughest delinquents ? Apparently , exactly Takashi , though reasons 'd rather leave unmentioned . However , one thing sure : `` hard-boiled rabbit den full hungry lions '' never going another dull day . could , 's surrounded mohawked punks , obnoxious robots , ... gorillas ? Freddie Mercury riding horse corridor ? Follow Takashi earnestly dedicates new high school life better school 's reputation classmates hellbent wreaking havoc . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Hazard: The Magnificent World,7.27,"Makoto Mizuhara agrees testify boisterous student council president Katsuhiko Jinnai bribing school clubs recent student council elections , Jinnai chases attempt silence self-proclaimed rival . Suddenly , chase , time stops everyone—except Makoto . Perplexed , wanders around campus notices light coming school 's closed-off basement , ancient relic uncovered . Makoto walking toward artifact surrounded strings light , comes otherworldly woman claims waiting ten thousand years see . Weakened passage time , uses remaining power transport confused Makoto another world , refers El-Hazard . However , others still school also caught spell , namely : Jinnai ; Masamichi Fujisawa , alcoholic teacher ; Nanami Jinnai , headstrong sister president Jinnai . fantastical magnificent world El-Hazard awaits four individuals become entangled story inhabitants embark adventure filled laughter , danger , even romance . [ Written MAL Rewrite ]",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fullmetal Alchemist,8.12,"Edward Elric , young , brilliant alchemist , lost much twelve-year life : brother Alphonse try resurrect dead mother forbidden act human transmutation , Edward loses brother well two limbs . supreme alchemy skills , Edward binds Alphonse 's soul large suit armor . year later , Edward , promoted fullmetal alchemist state , embarks journey younger brother obtain Philosopher 's Stone . fabled mythical object rumored capable amplifying alchemist 's abilities leaps bounds , thus allowing override fundamental law alchemy : gain something , alchemist must sacrifice something equal value . Edward hopes draw military 's resources find fabled stone restore Alphonse 's bodies normal . However , Elric brothers soon discover legendary stone meets eye , led epicenter far darker battle could ever imagined . [ Written MAL Rewrite ]",1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fushigi Yuugi,7.62,"visit National Library , Miaka Yuuki Yui Hongo stumble upon strange old book casts red light , sucking inside unfamiliar world . Upon arrival , two encounter hostile slave traders barely escape help Tamahome—a powerful young man bearing Chinese symbol forehead . , moment later , red light returns takes Yui away . Desperate reunite companion , Miaka asks Tamahome assistance . However , situation escalates pair encounters land 's emperor , Hotohori , believes Miaka foretold priestess kingdom 's protector god Suzaku . gathering god 's seven Celestial Warriors , priestess summon Suzaku wishes granted . Hotohori hopes save country , since appears fitting solution girl 's problems well , convinces accept role . Meanwhile , library , Yui realizes brought back alone . Unable intervene , helplessly witnesses Miaka traversing courageous trials mysterious book 's heroine . [ Written MAL Rewrite ]",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gensoumaden Saiyuuki,7.55,"Many years ago , humans demons lived harmony . unity ended demons started attacking humans plotted mission unleash Gyumao—an evil demon imprisoned thousands years . , Genjo Sanzo , rogue priest , must team three demons—Sha Gojyo , Son Goku , Cho Hakkai—and embark perilous journey west stop demons resurrecting Gyumao restore balance humans demons Earth . ( Source : ANN )",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Saiyuuki Reload Gunlock,7.38,"Sanzo Ikkou continues westward journey , mission prevent demonic resurrection . Genjo Sanzo , Cho Hakkai , Sha Gojyo , Son Goku fight way goal , path fraught internal strife . encounter formidable pair adversaries west , cohesion group -- fate mission -- may stake . ( Source : ANN )",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
