title,genre,score,synopsis
The Walking Dead,"Drama, Horror, Thriller",8.1,"Sheriff Deputy Rick Grimes gets shot and falls into a coma. When awoken he finds himself in a Zombie Apocalypse. Not knowing what to do he sets out to find his family, after he's done that, he gets connected to a group to become the leader. He takes charge and tries to help this group of people survive, find a place to live and get them food. This show is all about survival, the risks and the things you'll have to do to survive."
Shrinking,"Comedy, Drama",7.9,"A grieving therapist starts to tell his clients exactly what he thinks. Ignoring his training and ethics, he finds himself making huge changes to people's lives - including his own."
Game of Thrones,"Action, Adventure, Drama",9.2,"In the mythical continent of Westeros, several powerful families fight for control of the Seven Kingdoms. As conflict erupts in the kingdoms of men, an ancient enemy rises once again to threaten them all. Meanwhile, the last heirs of a recently usurped dynasty plot to take back their homeland from across the Narrow Sea."
Carnival Row,"Crime, Drama, Fantasy",7.8,"Orlando Bloom and Cara Delevingne star in ""Carnival Row,"" a Victorian fantasy world filled with mythological immigrant creatures whose rich homelands were invaded by the empires of man. This growing immigrant population struggles to coexist with humans in the grimiest section of the city -- forbidden to live, love, or fly with freedom. But even in darkness, hope lives, as a human detective, Rycroft Philostrate, and a refugee faerie named Vignette Stonemoss rekindle a dangerous affair despite an increasingly intolerant society. Vignette harbors a secret that endangers Philo's standing during his most important case yet: a string of gruesome murders threatening the uneasy peace of the Row. As Philo investigates, he reveals a monster no one could imagine."
Succession,Drama,8.8,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
Ted Lasso,"Comedy, Drama, Sport",8.8,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team."
Breaking Bad,"Crime, Drama, Thriller",9.5,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. Determined to ensure that his family will have a secure future, Walt embarks on a career of drugs and crime. He proves to be remarkably proficient in this new world as he begins manufacturing and selling methamphetamine with one of his former students. The series tracks the impacts of a fatal diagnosis on a regular, hard working man, and explores how a fatal diagnosis affects his morality and transforms him into a major player of the drug trade."
South Park,"Animation, Comedy",8.7,"The curious, adventure-seeking, fourth grade group of 10 year old boys, Stan, Kyle, Cartman, and Kenny, all join in in buffoonish adventures that sometimes evolve nothing. Sometimes something that was simple at the start, turns out to get out of control. Everything is odd in the small mountain town, South Park, and the boys always find something to do with it."
Servant,"Drama, Horror, Mystery",7.5,A Philadelphia couple are in mourning after an unspeakable tragedy creates a rift in their marriage and opens a door for a mysterious force to enter their home.
Party Down,"Comedy, Drama",8.2,"A group of actors move to Los Angeles to make it big, but end up working as caterers."
Wednesday,"Comedy, Crime, Fantasy",8.1,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart a killing spree, and solve the mystery that embroiled her parents."
Grey's Anatomy,"Drama, Romance",7.6,"A medical based drama centered around Meredith Grey, an aspiring surgeon and daughter of one of the best surgeons, Dr. Ellis Grey. Throughout the series, Meredith goes through professional and personal challenges along with fellow surgeons at Seattle Grace Hospital."
The Blacklist,"Crime, Drama, Mystery",8.0,"A highly articulate, erudite and intelligent businessman and mastermind, ""Red"" Reddington, has allegedly been on the ""10 Most Wanted List"" of various U.S. law enforcement agencies for over 20 years. The legend is that Red is as elusive as he is clever, controlling a labyrinth of creative enterprises, coupled with uncanny ability to gather and finesse information at the drop of a hat. On the first day at FBI for a new female profiler fresh out of Quantico, Red offers to bandy wits with the FBI. Red promises to deliver various criminals and plots previously unknown to any branch of law enforcement... and all Red requests in return is to choose his muse."
Your Honor,"Crime, Drama, Thriller",7.6,"Bryan Cranston stars as a New Orleans judge who is forced to confront his own deepest convictions when his son is involved in a hit and run that embroils an organized crime family. As a storm of vengeance, lies and deceit threatens to engulf the entire city, Michael Desiato faces a series of increasingly impossible choices and discovers just how far an honest man will go to save his son's life."
Better Call Saul,"Crime, Drama",8.9,"Before Saul Goodman, he was Jimmy McGill. And if you're calling Jimmy, you're in real trouble. The prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into Walter White's morally challenged lawyer, Saul Goodman."
Criminal Minds,"Crime, Drama, Mystery",8.1,"Based in Quantico, Virginia, the Behavioral Analysis Unit (B.A.U.) is a subsection of the F.B.I. Called in by local Police departments to assist in solving crimes of a serial and/or extremely violent nature where the perpetrator is unknown (referred to by the Unit as the unknown subject or ""unsub"" for short), the B.A.U. uses the controversial scientific art of profiling to track and apprehend the unsub. Profiling entails coming up with basic characteristics of the unsub and the victims (referred to as the victimology), using evidence from the case and matching that information to historic precedents and psychological analyses as a means to solve the case. Because of the nature of the work conducted by the B.A.U. - the work being time consuming and psychologically demanding - its members are fiercely loyal to the Unit and to its other members. Also because of the work's overall demanding nature, not many members of the B.A.U. have been able to maintain a happy or stable family life."
Stranger Things,"Drama, Fantasy, Horror",8.7,"In a small town where everyone knows everyone, a peculiar incident starts a chain of events that leads to the disappearance of a child, which begins to tear at the fabric of an otherwise peaceful community. Dark government agencies and seemingly malevolent supernatural forces converge on the town, while a few of the locals begin to understand that there's more going on than meets the eye."
The Rookie,"Action, Crime, Drama",8.0,"The series follows John Nolan, a 40-year-old man who moves from his comfortable, small-town life to Los Angeles to pursue his dream of being a police officer for the Los Angeles Police Department. He must navigate the dangerous, humorous, and unpredictable world of a ""young"" cop, determined to make his second shot at life count."
Farzi,"Crime, Drama, Thriller",8.5,"An artist who gets pulled into the murky high stakes of a con job and a fiery task force officer on the mission to rid the country of his menaces in a fast-paced, edgy one-of-a-kind thriller."
Mayor of Kingstown,"Crime, Drama, Thriller",8.2,"The McLusky family are power brokers tackling themes of systemic racism, corruption and inequality in Kingstown, Michigan, where the business of incarceration is the only thriving industry."
The Gold,"Crime, Drama, History",7.5,"Drama series inspired by true events surrounding the 1983 Brink's-Mat robbery, and the remarkable story that followed."
Law & Order: Special Victims Unit,"Crime, Drama, Mystery",8.1,"Clyde Shelton's family is brutally murdered. The ones responsible are caught. However, because of improper procedure, the D.A., Nick Rice only has circumstantial evidence. So he decides to get one of them to testify against the other. When Shelton learns of this, he is not happy. Ten years later, the one who was convicted is being executed but something goes wrong; his execution goes awry and he suffers. They learn that someone tampered with the machine. And the other one is found dead, killed in a gruesome manner. Rice suspects Shelton, so he has him picked up. At first, Shelton agrees to a plea agreement with Rice but changes his mind. It appears that Shelton is not done, it appears he blames the whole system and is declaring war on it going after everyone involved with his family's case. So Rice has to stop him but Shelton is way ahead of him."
The Boys,"Action, Comedy, Crime",8.7,"The Boys is set in a universe in which superpowered people are recognized as heroes by the general public and owned by a powerful corporation, Vought International, which ensures that they are aggressively marketed and monetized. Outside of their heroic personas, most are arrogant and corrupt. The series primarily focuses on two groups: the titular Boys, vigilantes looking to keep the corrupted heroes under control, and the Seven, Vought International's premier superhero team. The Boys are led by Billy Butcher, who despises all superpowered people, and the Seven are led by the egotistical and unstable Homelander. As a conflict ensues between the two groups, the series also follows the new members of each team: Hugh ""Hughie"" Campbell of the Boys, who joins the vigilantes after his girlfriend is killed in a high-speed collision by the Seven's A-Train, and Annie January/Starlight of the Seven, a young and hopeful heroine forced to face the truth about the heroes she admires."
Strike,"Crime, Drama, Mystery",7.9,A nearly illiterate woman becomes one of the founders of Poland's Solidarity union.
The Office,Comedy,9.0,"A mediocre paper company in the hands of Scranton, PA branch manager Michael Scott. This mockumentary follows the everyday lives of the manager and the employees he ""manages."" The crew follows the employees around 24/7 and captures their quite humorous and bizarre encounters as they will do what it takes to keep the company thriving."
The Sopranos,"Crime, Drama",9.2,"An innovative look at the life of fictional Mafia Capo Tony Soprano, this serial is presented largely first person, but additional perspective is conveyed by the intimate conversations Tony has with his psychotherapist. We see Tony at work, at home, and in therapy. Moments of black comedy intersperse this aggressive, adult drama, with adult language, and extreme violence."
Unforgotten,"Crime, Drama, Mystery",8.3,"When the body of a young man is discovered in a derelict building, Detective Chief Inspector (DCI) Cassie Stuart is called in to investigate with her partner, Detective Sergeant (DS) Sunil ""Sunny"" Khan (Sanjeev Bhaskar). Jimmy Sullivan was a homeless runaway away boy, murdered in 1976 when the building was a hostel. His diary implicates four suspects; a clergyman, an eminent entrepreneur, a community worker, and a disabled house-bound husband caring for his wife. Each has a secret to hide. As their lies unravel, the people they love most begin to wonder what else they might be capable of. Nothing in this case is black and white. Can you ever really know the people closest to you? What secrets have they buried?."
The Flash,"Action, Adventure, Drama",7.5,"Barry Allen was struck by lightning and got in a coma for 9 months. After he awoke from his coma 9 months later, Barry met Cisco Ramon, Harrison Wells and Caitlin Snow. He later on realized that he has powers and how it had been caused by the explosion of the particle accelerator."
Supernatural,"Drama, Fantasy, Horror",8.4,"John Winchester raised his two sons Sam and Dean to hunt and kill all things that go ""bump in the night"" after his wife Mary was murdered by an evil supernatural being when the boys were little. 22 years later the brothers set out on a journey, fighting evil along the way, to find their recently-missing father; when they finally do he reveals he knows what demon killed their mother and has found a way to track and kill it. Meanwhile, Sam develops frightening abilities such as seeing visions of people dying before it actually happens. These visions are somehow connected to the demon that murdered his mother and its mysterious plans that seem to be all about Sam. When their father dies striking a deal with that very same demon, the brothers determine to finish his crusade. But disturbing revelations about Sam's part in the demon's apocalyptic plan are presented when John's dying last words to Dean are revealed."
Death in Paradise,"Comedy, Crime, Drama",7.8,"Scotland Yard DI Richard Poole is sent to the Caribbean island of Sainte Marie to solve a fellow policeman's murder. Having done so, he finds himself seconded to the local police force as the dead man's replacement. Poole proves to be a brilliant detective, solving several complex murders. He's not quite suited to either the pace of life on the island or the heat and sand, neither of which he likes very much. He also doesn't like seafood. That aside, the place is just great. In later series, other English and Irish police officers head the investigative team, namely Humphrey Goodman, Jack Mooney, and Neville Parker."
Euphoria,Drama,8.4,"A look at life for a group of high school students as they grapple with issues of drugs, sex and violence. The series focuses on the relationship between two young girls trying to find their place in the world: recovering addict Rue and new-in-town Jules."
True Detective,"Crime, Drama, Mystery",8.9,"In 2012, Louisiana State Police Detectives Rust Cohle and Martin Hart are brought in to revisit a homicide case they worked in 1995. As the inquiry unfolds in present day through separate interrogations, the two former detectives narrate the story of their investigation, reopening unhealed wounds, and drawing into question their supposed solving of a bizarre ritualistic murder in 1995. The timelines braid and converge in 2012 as each man is pulled back into a world they believed they'd left behind. In learning about each other and their killer, it becomes clear that darkness lives on both sides of the law."
Severance,"Drama, Mystery, Sci-Fi",8.7,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs."
Peaky Blinders,"Crime, Drama",8.8,"Thomas Shelby and his brothers return to Birmingham after serving in the British Army during WWI. Shelby and the Peaky Blinders, the gang he is leader of, control the city of Birmingham But as Shelby's ambitions extend beyond Birmingham, he plans to build on the business empire he's created, and stop anyone who gets in his way."
Happy Valley,"Crime, Drama, Thriller",8.5,"Catherine is a no-nonsense police sergeant who heads up a team of officers in a rural Yorkshire valley. When a staged kidnapping spirals out of control turning into a brutal series of crimes, Catherine finds herself involved in something significantly bigger than her rank, but unknowingly close to home."
Yellowjackets,"Drama, Horror, Mystery",7.9,"Equal parts survival epic, psychological horror story and coming-of-age drama, ""Yellowjackets"" is the saga of a team of wildly talented high school girls soccer players who become the (un)lucky survivors of a plane crash deep in the remote northern wilderness. The series chronicles their descent from a complicated but thriving team to savage clans, while also tracking the lives they've attempted to piece back together nearly 25 years later, proving that the past is never really past and what began out in the wilderness is far from over."
Tulsa King,"Crime, Drama",8.1,"Following his release from prison, Mafia capo Dwight ""The General"" Manfredi is exiled to Tulsa, Oklahoma, where he builds a new criminal empire with a group of unlikely characters."
The Big Bang Theory,"Comedy, Romance",8.2,"Leonard Hofstadter and Sheldon Cooper are both brilliant physicists working at Cal Tech in Pasadena, California. They are colleagues, best friends, and roommates, although in all capacities their relationship is always tested primarily by Sheldon's regimented, deeply eccentric, and non-conventional ways. They are also friends with their Cal Tech colleagues mechanical engineer Howard Wolowitz and astrophysicist Rajesh Koothrappali. The foursome spend their time working on their individual work projects, playing video games, watching science-fiction movies, or reading comic books. As they are self-professed nerds, all have little or no luck with women. When Penny, a pretty woman and an aspiring actress from Omaha, moves into the apartment across the hall from Leonard and Sheldon's, Leonard has another aspiration in life, namely to get Penny to be his girlfriend."
Friends,"Comedy, Romance",8.9,"Ross Geller, Rachel Green, Monica Geller, Joey Tribbiani, Chandler Bing, and Phoebe Buffay are six twenty-somethings living in New York City. Over the course of 10 years and seasons, these friends go through life lessons, family, love, drama, friendship, and comedy."
Modern Family,"Comedy, Drama, Romance",8.5,"Told from the perspective of an unseen documentary filmmaker, the series offers an honest, often-hilarious perspective of family life. Parents Phil and Claire yearn for an honest, open relationship with their three kids, but a daughter who is trying to grow up too fast, another who is too smart for her own good, and a rambunctious young son make it challenging. Claire's dad Jay and his Latina wife Gloria are raising two sons together, but people sometimes believe Jay to be Gloria's father. Jay's gay son Mitchell and his partner Cameron have adopted a little Asian girl, completing one big -- straight, gay, multicultural, traditional -- happy family."
House of the Dragon,"Action, Adventure, Drama",8.5,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen."
Endeavour,"Crime, Drama, Mystery",8.6,"Series 1 follows the early police career of young Endeavour Morse, who upon leaving his Oxford College without a degree, spending time in the Royal Signal Corps., and eventually joining the Oxfordshire Police, is transferred to CID, attaining the rank of Detective Constable. Originally starting out his career at Carshall-Newtown Police, Morse transfers to the Oxford City Police in 1965 following a murder investigation during the pilot episode. While with the Oxford City Police, Morse is taken under the wing of veteran Detective Inspector Fred Thursday. Inspector Thursday names Morse his designated ""bag man"" and shows him the ropes as Morse begins to solve a string of complex murders, much to the envy and annoyance of some of his superiors, particularly Detective Sergeant Jakes and Chief Superintendent Bright. Thursday and Morse's fellow officer, Police Constable Strange, try to steer the young Endeavour into taking his Sergeant's exam, so that he may be relieved of ""General Duties"" and become Thursday's official ""bag man"" with the appropriate rank and title."
Young Sheldon,Comedy,7.6,"It's 1989, and 9-year-old Sheldon Cooper has skipped four grades to start high school along with his less-intellectual older brother. As he struggles to be understood by his family, classmates, and neighbors, his mother arms him with the best tool she has: reminding bullies that his dad is the football coach and his brother is on the team. His twin sister doesn't share his exceptional mind, but she is brilliant at reading people and has a much clearer vision of what life has in store for the young genius. Jim Parsons, who plays the adult version of Sheldon on The Big Bang Theory (2007), narrates."
Andor,"Action, Adventure, Drama",8.4,"Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero."
Star Wars: The Bad Batch,"Animation, Action, Adventure",7.8,"The clone special unit called ""The Bad Batch"" consists of clones with helpful side effects, such as super strength, make their way through the newly founded empire and trying to find out why all clone troops, except themselves, opposed their jedi generals."
It's Always Sunny in Philadelphia,Comedy,8.8,"The gang, 5 raging alcoholic, narcissists run a failing dive bar in south philly. The gang make up some scheme for sex, money, fame or for any other terrible reason you could think of. It always goes south however, as the gang (sometimes literally) have their plans blow up in their face."
Vikings,"Action, Adventure, Drama",8.5,"The adventures of a Ragnar Lothbrok: the greatest hero of his age. The series tells the saga of Ragnar's band of Viking brothers and his family as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods: legend has it that he was a direct descendant of Odin, the god of war and warriors."
Shadow and Bone,"Action, Adventure, Drama",7.6,"In a world where dark forces have taken over, a young mapmaker, Alina Starkov, accidentally discovers that she has the power to change the fate of the war. She is the only one who has the power to summon light and this will make her play a key role in this war."
Abbott Elementary,Comedy,8.2,"Follows a group of teachers brought together in one of the worst public schools in the country, simply because they love teaching."
Bones,"Comedy, Crime, Drama",7.8,"Brilliant, but socially inept, forensic anthropologist Dr. Temperence Brennan works at the Jeffersonian Institute in Washington DC. After consulting for him on a FBI case, she is approached by cocky yet charming Former Army Ranger turned Special Agent, Seeley Booth to help the Bureau solve crimes by identifying human remains that are too far gone for standard FBI forensic investigations. Brennan's empirical, literal view of the world causes friction with Booths emotive, instinctive attitude creating a volatile relationship. However as their case load increases the symbiotic partnership produces results and with the support of Brennan's Squint Squad, murderers, past and present should be on the look out."
The Night Manager,"Crime, Thriller",7.8,"An Englishman, Jonathan Pine (played by Tom Hiddleston), is working as the night manager of a Cairo hotel. He gets involved with a local woman who is the girlfriend of a local gangster. Through her relationship with the gangster she has acquired information linking illegal international arms sales with Richard Roper (Hugh Laurie), an English billionaire. She is soon found dead, murdered due to her having this information. Fearing for his own life, Pine flees, ending up working at a remote hotel in Switzerland. Four years pass, and then Roper visits the Swiss hotel. This rekindles Pines thirst for revenge, and he is enlisted by British Intelligence to spy on Roper. What follows is a very dangerous game of intrigue and deception."
New Amsterdam,Drama,8.0,"Dr. Max Goodwin is brilliant, charming -- and the new medical director at America's oldest public hospital. While he's set on tearing down the bureaucracy to provide exceptional care, the doctors and staff are not so sure. They've heard this before, and no one else has delivered on those promises. Not taking ""no"" for an answer, Max disrupts the status quo and proves he will stop at nothing to breathe new life into this understaffed, underfunded and underappreciated hospital -- the only one in the world capable of treating Ebola patients, prisoners from Rikers Island and the president of the United States all under one roof -- and return it to the glory that put it on the map. Inspired by Bellevue in New York City."
The Book of Boba Fett,"Action, Adventure, Sci-Fi",7.3,The legendary bounty hunter Boba Fett navigates the underworld of the galaxy with mercenary Fennec Shand when they return to the sands of Tatooine to stake their claim on the territory formerly ruled by the deceased crime lord Jabba the Hutt.
The Wire,"Crime, Drama, Thriller",9.3,"The streets of Baltimore as a microcosm of the US's war on drugs, and of US urban decay in general. Seen not only through the eyes of a few policemen and drug gang members but also the people who influence and inhabit their world - politicians, the media, drug addicts and everyday citizens."
Narcos,"Biography, Crime, Drama",8.8,"Narcos tells the true-life story of the growth and spread of cocaine drug cartels across the globe and attendant efforts of law enforcement to meet them head on in brutal, bloody conflict. It centers around the notorious Colombian cocaine kingpin Pablo Escobar (Wagner Moura) and Steve Murphy (Holbrook), a DEA agent sent to Colombia on a U.S. mission to capture him and ultimately kill him."
Ginny & Georgia,"Comedy, Drama",7.5,N/A
Doctor Who,"Adventure, Drama, Sci-Fi",8.6,"The Doctor, a Time Lord from the race whose home planet is Gallifrey, travels through time and space in their ship the TARDIS (an acronym for Time and Relative Dimension In Space) with numerous companions. From time to time, the Doctor regenerates into a new form."
Black Mirror,"Drama, Mystery, Sci-Fi",8.8,"Set in a world only minutes from our own, ""Black Mirror"", a UK and USA non-hosted anthology series; unveils how modern technologies can backfire and be used against their makers, every episode set in a slightly different reality with different characters combating different types of technologies. The series ran from 2011 until 2019."
Ghosts,"Comedy, Fantasy",7.9,"A young couple's dreams come true when they inherit a beautiful country house, only to find it's both falling apart and inhabited by many of the deceased previous residents."
Outlander,"Drama, Fantasy, Romance",8.4,"Follows the story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world in which her life is threatened. When she is forced to marry Jamie Fraser, a chivalrous and romantic young Scottish warrior, a passionate relationship is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives."
Seinfeld,Comedy,8.9,"Jerry Seinfeld stars in this television comedy series as himself, a comedian. The premise of this sitcom is Jerry and his friends going through everyday life, discussing various quirky situations, to which we can all relate (especially if we live in New York City). The eccentric personalities of the offbeat characters who make up Jerry's social circle contribute to the fun."
The Chosen,"Drama, History",9.3,A charismatic fisherman struggling with debt. A troubled woman wrestling with demons. A gifted accountant ostracised from his family and people. In this ground-breaking first season of The Chosen see how Jesus reaches each of these and more as He works His first miracles and embarks on His ministry to change the world. See Him through the eyes of those who knew Him.
Suits,"Comedy, Drama",8.5,"While running from a drug deal gone bad, brilliant young college-dropout Mike Ross slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after recognizing his raw talent and photographic memory. Mike and Harvey are a winning team. Although Mike is a genius, he still has a lot to learn about the law; and while Harvey might seem like an emotionless, cold-blooded shark, Mike's sympathy and concern for their cases and clients will help remind Harvey why he went into law in the first place. Mike's other allies in the office include the firm's best paralegal Rachel and Harvey's no-nonsense assistant Donna. Proving to be an irrepressible duo and invaluable to the practice, Mike and Harvey must keep their secret from everyone including managing partner Jessica and Harvey's arch nemesis Louis, who seems intent on making Mike's life as difficult as possible."
The Simpsons,"Animation, Comedy",8.7,"This is an animated sitcom about the antics of a dysfunctional family. Homer is the oafish unhealthy beer loving father, Marge is the hardworking homemaker wife, Bart is the perpetual ten-year-old underachiever (and proud of it), Lisa is the unappreciated eight-year-old genius, and Maggie is the cute, pacifier loving silent infant."
The Crown,"Biography, Drama, History",8.6,"This show focuses on Queen Elizabeth II as a young newlywed faced with leading the world's most famous monarchy, while forging a relationship with legendary Prime Minister Sir Winston Churchill. The British Empire is in decline, the political world is in disarray, but a new era is dawning. Peter Morgan's masterfully researched scripts reveal the Queen's private journey behind the public façade with daring frankness. Prepare to see into the coveted world of power and privilege behind the locked doors of Westminster and Buckingham Palace."
Shameless,"Comedy, Drama",8.6,"Watch the Irish American family the Gallaghers dealing with their alcoholic father Frank. Fiona, the eldest daughter, takes the role of the parent to her five brothers and sisters. Lip, Ian, Debbie, Carl, and Liam deal with life on the South Side of Chicago. Fiona balances her sex life and raising her siblings. Every episode is another crazy situation that one or more of the Gallagher six get into. Watch them grow and learn how to make their way in life with what little they have."
Formula 1: Drive to Survive,"Documentary, Sport",8.6,Docuseries following the FIA Formula One World Championship across multiple seasons.
Snowfall,"Crime, Drama",8.2,A look at the early days of the crack cocaine epidemic in Los Angeles during the beginning of the 1980s.
Lost,"Adventure, Drama, Fantasy",8.3,"The past, present, and future lives of surviving Oceanic Flight 815 passengers are dramatically intertwined as a fight for survival ensues in a quest for answers after crashlanding on a mysterious island. Each discovery prompts yet more secrets, as the hastily-formed colony search for a way off the island, or is this their home?"
The Last Kingdom,"Action, Drama, History",8.5,"In the year 872, many of the separate kingdoms of what is now England have fallen to the invading Danes, leaving the great kingdom of Wessex standing alone and defiant under the command of King Alfred. Against this turbulent backdrop lives Uhtred. Born to a Saxon nobleman, he is captured by the Danes and raised as one of their own. Forced to choose between his birth country and the people of his upbringing, his loyalties are ever tested. What is he? Saxon or Dane? On a quest to reclaim his birthright, Uhtred must tread a dangerous path between both sides to play his part in the birth of a new nation and--ultimately--recapture his ancestral lands."
Family Guy,"Animation, Comedy",8.2,"Sick, twisted and politically incorrect, the animated series features the adventures of the Griffin family. Endearingly ignorant Peter and his stay-at-home wife Lois reside in Quahog, R.I., and have three kids. Meg, the eldest child, is a social outcast, and teenage Chris is awkward and clueless when it comes to the opposite sex. The youngest, Stewie, is a genius baby bent on killing his mother and destroying the world. The talking dog, Brian, keeps Stewie in check while sipping martinis and sorting through his own life issues."
Will Trent,"Crime, Drama",7.6,"Special Agent Will Trent was abandoned at birth and endured a harsh coming-of-age in Atlanta's overwhelmed foster care system. Determined to make sure no one feels as he did, he now has the highest clearance rate."
The Good Doctor,Drama,8.1,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital surgical unit. Alone in the world and unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues."
Midsomer Murders,"Crime, Drama, Mystery",7.9,"The British detective drama revolves around Detective Chief Inspector Barnaby's efforts to solve numerous murders that take place in the fictional English county of Midsomer. The current lead character is Detective Chief Inspector John Barnaby (Neil Dudgeon), who is the younger cousin of former lead character Detective Chief Inspector Tom Barnaby (John Nettles). The Barnabys have worked with several different Sergeants throughout the run of the show, including Sergeant Gavin Troy (Daniel Casey), Sergeant Dan Scott (John Hopkins), Detective Sergeant Ben Jones (Jason Hughes), Detective Sergeant Charlie Nelson (Gwilym Lee), and Sergeant Jamie Winter (Nick Hendrix)."
Star Trek: The Next Generation,"Action, Adventure, Sci-Fi",8.7,"Set in the twenty-fourth century and seven to eight decades after the adventures of the original crew of the starship Enterprise, this new series is the long-awaited successor to Star Trek (1966). Under the command of Captain Jean-Luc Picard, the all new Enterprise NCC 1701-D travels out to distant planets to seek out new life and to boldly go where no one has gone before."
House M.D.,"Drama, Mystery",8.7,N/A
Luther,"Crime, Drama, Mystery",8.4,"John Luther is a police detective, and a very good one. He deals with murder cases, often involving serial killers, and has a knack for getting inside the mind of the killer. However, his methods, personality and troubled private life often get him into strife with his superiors, leading some to regard him as the problem rather than the solution."
Chicago Fire,"Action, Drama",8.0,"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level."
Lucifer,"Crime, Drama, Fantasy",8.1,"Lucifer Morningstar, bored from his sulking life in hell, comes to live in Los Angeles. While there, he helps humanity with its miseries through his experience and telepathic abilities to bring people's deepest desires and thoughts out of them. While meeting with a Detective in his nightclub (Lux), a shootout involving him and the Detective leads him to become an LAPD consultant who tries to punish people for their crimes through law and justice."
American Horror Story,"Drama, Horror, Sci-Fi",8.0,"Physical and psychological horrors affect a decomposing family, workers and residents of an insane asylum, a coven of witches, a cast of circus freaks, the employees and guests at a struggling hotel, a family who moved into a mysterious farmhouse, the members of a small suburb in Michigan, the surviving members of the Apocalypse and the counselors of a creepy summer camp in this haunting anthology series, focusing on the themes of infidelity, sanity, oppression, discrimination, addiction and exploitation."
Lockwood & Co.,"Action, Adventure, Drama",7.4,"Hoping for a big break on the story of a missing girl, newspaper writer Robert O'Dwyer returns to his hometown of Lockwood and must choose between his career and his family in order to uncover the girl's killer in this 1920's peri..."
